Date,Description,Amount (INR),Balance (INR)
01-05-2025,ATM Withdrawal,"9,701.68","34,701.68"
03-05-2025,ATM Withdrawal,-417.20,"34,284.48"
05-05-2025,Online Transfer,"-2,976.65","31,307.83"
07-05-2025,POS Purchase,"9,159.87","40,467.70"
10-05-2025,ATM Withdrawal,"1,221.37","41,689.07"
13-05-2025,UPI Transfer,298.15,"41,987.22"
14-05-2025,Online Transfer,-176.44,"41,810.78"
17-05-2025,ATM Withdrawal,"7,038.55","48,849.33"
19-05-2025,UPI Transfer,"6,499.44","55,348.77"
22-05-2025,UPI Transfer,"9,868.68","65,217.45"
25-05-2025,Online Transfer,"-4,676.84","60,540.61"
26-05-2025,Online Transfer,"-1,385.94","59,154.67"
27-05-2025,ATM Withdrawal,"1,534.16","60,688.83"
28-05-2025,POS Purchase,"5,813.44","66,502.27"
29-05-2025,POS Purchase,"-4,048.16","62,454.11"
